device_id,event_time,latitude,longitude,city,region,country,two_letter_country,postal_code,timezone_name,gmt_offset
visitor_5,2026-03-01 07:00:00,32.7763385500067,-96.79699988711907,Dallas,tx,usa,us,75201,Central Time,-06:00
visitor_8,2026-03-01 07:00:00,39.73934218216552,-104.99005246137523,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_3,2026-03-01 07:00:00,25.761339375443747,-80.1915174354282,Miami,fl,usa,us,33101,Eastern Time,-05:00
visitor_2,2026-03-01 07:00:00,39.73918370613419,-104.99034139607804,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_5,2026-03-01 07:00:00,39.739224499084834,-104.99046685277278,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_5,2026-03-01 07:30:00,32.77666772482281,-96.79734568573963,Dallas,tx,usa,us,75201,Central Time,-06:00
visitor_3,2026-03-01 07:30:00,25.762065548805698,-80.19174313136318,Miami,fl,usa,us,33101,Eastern Time,-05:00
visitor_8,2026-03-01 07:30:00,39.739505676583875,-104.99007399790378,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_2,2026-03-01 07:30:00,39.73901609272403,-104.99059247081185,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_5,2026-03-01 07:30:00,39.73927054512518,-104.99062639313748,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_5,2026-03-01 08:00:00,32.77644278731261,-96.79696197538209,Dallas,tx,usa,us,75201,Central Time,-06:00
visitor_1,2026-03-01 08:00:00,25.761591576791957,-80.19191952320168,Miami,fl,usa,us,33101,Eastern Time,-05:00
visitor_8,2026-03-01 08:00:00,39.73883175582401,-104.99010823989539,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_2,2026-03-01 08:00:00,39.73939920301255,-104.99026198955485,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_5,2026-03-01 08:00:00,39.73901101167149,-104.99035453999329,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_3,2026-03-01 08:00:00,25.76150785731265,-80.19169929600648,Miami,fl,usa,us,33101,Eastern Time,-05:00
visitor_10,2026-03-01 08:00:00,39.73920453618432,-104.98994721230596,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_7,2026-03-01 08:00:00,32.77693288768927,-96.79695273019053,Dallas,tx,usa,us,75201,Central Time,-06:00
visitor_7,2026-03-01 08:30:00,32.776349206890366,-96.79663133096636,Dallas,tx,usa,us,75201,Central Time,-06:00
visitor_5,2026-03-01 08:30:00,39.739017109600404,-104.98993649037703,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_1,2026-03-01 08:30:00,25.761750857396706,-80.19141220467928,Miami,fl,usa,us,33101,Eastern Time,-05:00
visitor_8,2026-03-01 08:30:00,39.73919840013774,-104.99027949536516,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_3,2026-03-01 08:30:00,25.762031286781905,-80.19219699427448,Miami,fl,usa,us,33101,Eastern Time,-05:00
visitor_2,2026-03-01 08:30:00,39.73919211914649,-104.99067899301095,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_10,2026-03-01 08:30:00,39.73935791957275,-104.99055974505978,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_5,2026-03-01 08:30:00,32.776435667166304,-96.79709061798727,Dallas,tx,usa,us,75201,Central Time,-06:00
person_B,2026-03-01 09:00:00,39.73896459269571,-104.99019249875197,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_1,2026-03-01 09:00:00,25.76178456326315,-80.19195672045433,Miami,fl,usa,us,33101,Eastern Time,-05:00
visitor_1,2026-03-01 09:00:00,39.739068035662804,-104.99028632814552,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_4,2026-03-01 09:00:00,33.74928800449866,-84.38829484253596,Atlanta,ga,usa,us,30301,Eastern Time,-05:00
visitor_3,2026-03-01 09:00:00,32.77666088087381,-96.79699483450005,Dallas,tx,usa,us,75201,Central Time,-06:00
visitor_3,2026-03-01 09:00:00,25.761537384585996,-80.19188963297465,Miami,fl,usa,us,33101,Eastern Time,-05:00
visitor_5,2026-03-01 09:00:00,32.77644564076458,-96.79737850575366,Dallas,tx,usa,us,75201,Central Time,-06:00
visitor_2,2026-03-01 09:00:00,39.73934339632837,-104.99024289387204,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_5,2026-03-01 09:00:00,39.73896565844467,-104.98991898635602,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_10,2026-03-01 09:00:00,39.739562527605855,-104.99017223893124,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_10,2026-03-01 09:00:00,39.7389006892319,-104.99039910767578,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_7,2026-03-01 09:00:00,32.7767160218313,-96.79702577820181,Dallas,tx,usa,us,75201,Central Time,-06:00
visitor_9,2026-03-01 09:00:00,32.77664383829089,-96.79727425966888,Dallas,tx,usa,us,75201,Central Time,-06:00
person_B,2026-03-01 09:00:00,35.2661440434125,-105.96954571630121,Santa Fe,nm,usa,us,87501,Mountain Time,-07:00
visitor_8,2026-03-01 09:00:00,39.73898098468361,-104.99043656836507,Denver,co,usa,us,80202,Mountain Time,-07:00
person_A,2026-03-01 09:00:00,25.761778401059303,-80.19178575841671,Miami,fl,usa,us,33101,Eastern Time,-05:00
visitor_1,2026-03-01 09:30:00,39.73910346746175,-104.98999266868488,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_10,2026-03-01 09:30:00,39.73920388811364,-104.99014867038795,Denver,co,usa,us,80202,Mountain Time,-07:00
visitor_10,2026-03-01 09:30:00,39.73914831939053,-104.99008127137411,Denver,co,usa,us,80202,Mountain Time,-07:00
